Nom;Code;Quadri;UUE/AA;ECTs;Abreviation
Algorithmique;I1010;Q1;UE;6;Algo
Analyse et Programmation Orientée Objet;I1020;Q1;UE;5;APOO
Analyse et Architecture des Données;I1030;Q2;UE;5;Ianarch
Structures de Données;I1040;Q2;UE;6;SD
Programmation Web : Bases;I1050;Q2;UE;5;Web 1
Introduction aux Systèmes d'Exploitation;I1060;Q2;UE;5;OS 1
Théorie des systèmes d’exploitation;I106A;Q2;AA;2,5;OS (Th)
Introduction à Linux;I106B;Q2;AA;2,5;Linux
Fonctionnement des Ordinateurs;I1070;Q1;UE;6;FO
L’Entreprise et ses Relations avec le Monde Economique;I1080;Q1;UE;5;
Comptabilité;I108A;Q1;AA;3;Comptabilité
Economie et Fonctionnement de l'entreprise;I108B;Q1;AA;3;Economie
Mathématiques 1 : Outils Fondamentaux;I1090;Q1;UE;4;Math 1
Mathématiques 2 : Structures Avancées;I1100;Q2;UE;6;Math 2
Projet de Développement Web;I1110;Q2;UE;3;Projet Web
Anglais 1;I1120;Q12;UE;4;Anglais 1
