Nom;Code;Quadri;UUE/AA;ECTs;Abreviation
Langage C;I2010;Q1;UE;5;Langage C
Programmation Avancée en Java;I2020;Q2;UE;4;
Ateliers java;I202A;Q1;AA;2,5;Ateliers java
Structures de données;I202B;Q1;AA;1,5;SD
Analyse et Conception;I2030;Q1;UE;6;
Cahier des charges;I203A;Q1;AA;2;Cahier charges
Concepts Orientés Objet;I203B;Q1;AA;2;COO
UML;I203C;Q1;AA;2;UML
Gestion de Données;I2040;Q1;UE;6;
Programmation Web : Avancé;I2050;Q1;UE;6;
Data Exchange Format;I205A;Q1;AA;2;XML
Javascript;I205B;Q1;AA;3;JavaScript
Ergonomie Web;I205C;Q1;AA;1;Ergonomie Web
Systèmes Informatiques : Principes et Protocoles;I2060;Q1;UE;4;
Système d'exploitation;I206A;Q1;AA;2;OS
IPP, Couches Hautes;I206B;Q1;AA;2;Télécom
Internet : Principes et Protocoles Avancés;I2070;Q2;UE;3;
Internet;I207A;Q2;AA;2;Internet
Programmation réseau;I207B;Q2;AA;1;Prog réseau
Organisation des Entreprises;I2080;Q2;UE;6;
Organisation des entreprises;I208A;Q2;AA;4;orga 
Stage d’observation;I208B;Q2;AA;2;Stage Obs
Design d'Applications d'Entreprise;I2090;Q2;UE;6;
Projet d’application d’entreprise;I209A;Q2;AA;4;projet DAE
Architecture d'Application Multithread;I209B;Q2;AA;2;AAM
Unix;I2100;Q2;UE;5;
Unix : théorie;I210A;Q2;AA;2;Unix (th)
Unix : Exercices;I210B;Q2;AA;3;Unix (ex)
Informatique Mobile;I2110;Q2;UE;4;Mobile
Anglais 2;I2120;Q12;UE;5;Anglais 2
